accident_index,longitude,latitude,number_of_vehicles,number_of_casualties,date,time,road_type,speed_limit,junction_detail,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,sex_of_casualty,age_of_casualty,casualty_severity,pedestrian_location,age_group_of_casualty
a2018010089740,0.159782,51.45965,1,1,12/02/2018,14:30,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,67,Serious,"In carriageway, crossing elsewhere",Adult
a2018010089336,0.145274,51.481769,1,1,10/02/2018,18:50,Single carriageway,30,Junction more than four arms,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Wet,Male,62,Slight,"In carriageway, crossing elsewhere",Adult
a2018010088709,0.10996,51.465593,1,1,07/02/2018,19:29,Single carriageway,30,Not at or within 20 metres of junction,Zebra Crossing,Darkness: street lights present and lit,8,Dry,Male,44,Serious,"In carriageway, crossing within zig-zag lines at crossing exit",Adult
a2018010088103,0.100811,51.426278,1,1,09/01/2018,18:45,Single carriageway,30,Crossroads,Pedestrian phase,Daylight,1,Unknown,Male,25,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult
a2018010088066,0.159501,51.471975,1,1,05/02/2018,06:55,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,14,Slight,"In carirageway, not crossing",Child
a2018010087862,0.160954,51.460078,1,3,03/02/2018,20:20,Single carriageway,30,Crossroads,Zebra Crossing,Darkness: street lights present and lit,1,Wet,Female,5,Slight,"In carriageway, crossing elsewhere",Child
a2018010087862,0.160954,51.460078,1,3,03/02/2018,20:20,Single carriageway,30,Crossroads,Zebra Crossing,Darkness: street lights present and lit,1,Wet,Female,38,Slight,"In carriageway, crossing elsewhere",Adult
a2018010087862,0.160954,51.460078,1,3,03/02/2018,20:20,Single carriageway,30,Crossroads,Zebra Crossing,Darkness: street lights present and lit,1,Wet,Male,43,Serious,"In carriageway, crossing elsewhere",Adult
a2018010085110,0.16105,51.471227,1,1,22/01/2018,15:44,Roundabout,30,Roundabout,Zebra Crossing,Daylight,1,Dry,Male,9,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Child
a2018010083880,0.125636,51.449752,1,1,16/01/2018,11:46,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,31,Slight,"In carriageway, crossing elsewhere",Adult
a2018010083831,0.106942,51.45009,1,2,16/01/2018,07:39,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,8,Wet,Male,42,Slight,"In carriageway, crossing elsewhere",Adult
a2018010083231,0.081149,51.458914,1,1,12/01/2018,16:30,Single carriageway,30,Unknown,Unknown,Daylight,8,Wet,Male,30,Slight,On footway or verge,Adult
a2018010082015,0.152096,51.458442,1,1,06/01/2018,19:40,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Male,15,Serious,"In carriageway, crossing elsewhere",Child
a2017010083812,0.105939,51.462698,1,1,18/12/2017,13:00,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,9,Unknown,Male,71,Slight,"In centre of carriageway, not on refuge",Adult
a2017010080791,0.098316,51.46913,1,1,30/12/2017,11:20,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,69,Slight,On footway or verge,Adult
a2017010080708,0.136224,51.457653,1,2,25/12/2017,00:10,Slip road,20,Slip road,Unknown,Darkness: street lights present and lit,1,Dry,Male,21,Serious,"In carirageway, not crossing",Adult
a2017010080708,0.136224,51.457653,1,2,25/12/2017,00:10,Slip road,20,Slip road,Unknown,Darkness: street lights present and lit,1,Dry,Male,-1,Serious,"In carirageway, not crossing",Child
a2017010080218,0.108895,51.464353,1,1,26/12/2017,17:10,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,2,Wet,Male,22,Slight,"In carriageway, crossing elsewhere",Adult
a2017010077814,0.131228,51.458554,1,1,17/11/2017,19:00,Single carriageway,30,T or staggered junction,"Pelican, puffin, toucan",Darkness: street lights present and lit,1,Dry,Female,51,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2017010077707,0.1197,51.430345,1,1,13/12/2017,20:00,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present and lit,2,Wet,Male,20,Slight,"In carriageway, crossing elsewhere",Adult
a2017010076993,0.127467,51.507633,1,1,11/12/2017,15:46,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,8,Wet,Male,7,Slight,"In carriageway, crossing elsewhere",Child
a2017010075247,0.118752,51.472,1,1,04/12/2017,15:21,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,11,Slight,"In carriageway, crossing elsewhere",Child
a2017010074574,0.177022,51.452856,1,1,01/12/2017,11:25,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,85,Slight,"In carriageway, crossing elsewhere",Adult
a2017010074525,0.080509,51.435364,1,1,27/11/2017,06:22,Unknown,30,T or staggered junction,Unknown,Darkness: street lights present and lit,9,Unknown,Male,49,Slight,Unknown,Adult
a2017010074400,0.157649,51.481542,1,2,30/11/2017,19:20,Single carriageway,30,Other,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Wet,Female,24,Slight,Unknown,Adult
a2017010072868,0.182105,51.450783,1,1,26/11/2017,10:07,One-way street,30,Other,Pedestrian phase,Daylight,1,Dry,Male,36,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2017010072714,0.102826,51.45448,1,1,25/11/2017,12:35,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,85,Slight,"In centre of carriageway, not on refuge",Adult
a2017010072275,0.132301,51.463031,1,1,23/11/2017,16:40,Single carriageway,30,Other,Zebra Crossing,Darkness: street lights present and lit,1,Dry,Male,45,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2017010071451,0.150443,51.441656,1,1,20/11/2017,12:50,Single carriageway,20,Mini roundabout,Zebra Crossing,Daylight,1,Dry,Female,21,Slight,Unknown,Adult
a2017010071057,0.142492,51.483888,1,1,18/11/2017,17:05,One-way street,30,Slip road,No physical crossing facility within 50m,Darkness: street lights present and lit,2,Wet,Male,71,Serious,"In carriageway, crossing elsewhere",Adult
a2017010070360,0.181415,51.478584,1,1,15/11/2017,17:17,Single carriageway,30,Roundabout,Zebra Crossing,Darkness: street lights present and lit,1,Dry,Male,34,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2017010070018,0.093363,51.464722,1,1,13/11/2017,22:30,Single carriageway,30,T or staggered junction,Central refuge,Darkness: street lighting unknown,1,Dry,Male,14,Slight,"In carriageway, crossing elsewhere",Child
a2017010069380,0.130498,51.445977,1,1,10/11/2017,18:30,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Female,29,Slight,"In carriageway, crossing elsewhere",Adult
a2017010068481,0.180309,51.44632,1,1,06/11/2017,14:53,Single carriageway,20,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,83,Fatal,"In carriageway, crossing elsewhere",Adult
a2017010066799,0.164679,51.48402,1,1,27/10/2017,11:00,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,42,Slight,"In carriageway, crossing elsewhere",Adult
a2017010066637,0.1919,51.459953,1,2,26/10/2017,07:18,Roundabout,30,Roundabout,Central refuge,Daylight,1,Dry,Female,54,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2017010066637,0.1919,51.459953,1,2,26/10/2017,07:18,Roundabout,30,Roundabout,Central refuge,Daylight,1,Dry,Female,20,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2017010066255,0.161098,51.460075,1,1,24/10/2017,18:16,Single carriageway,30,Other,Zebra Crossing,Darkness: street lights present and lit,1,Dry,Male,58,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2017010065540,0.158816,51.472707,2,1,19/10/2017,20:00,Roundabout,30,Roundabout,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Wet,Male,36,Slight,On footway or verge,Adult
a2017010065141,0.185449,51.466548,1,1,18/10/2017,09:00,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,8,Wet,Female,17,Slight,"In carriageway, crossing elsewhere",Child
a2017010064586,0.153411,51.458868,1,1,15/10/2017,20:00,Single carriageway,30,Crossroads,"Pelican, puffin, toucan",Daylight,1,Dry,Male,20,Serious,"In carriageway, crossing elsewhere",Adult
a2017010064360,0.156231,51.47896,1,1,13/10/2017,08:20,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,10,Slight,"In carriageway, crossing elsewhere",Child
a2017010063714,0.183241,51.468568,1,1,27/09/2017,15:30,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,18,Slight,"In carriageway, crossing elsewhere",Adult
a2017010062358,0.183507,51.480164,1,1,03/10/2017,15:29,Slip road,20,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,90,Slight,On footway or verge,Adult
a2017010061789,0.11484,51.437267,1,1,29/09/2017,15:25,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Wet,Male,11,Slight,"In centre of carriageway, not on refuge",Child
a2017010061725,0.102384,51.444866,1,1,29/09/2017,12:30,One-way street,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,19,Serious,"In carriageway, crossing elsewhere",Adult
a2017010061068,0.088559,51.450958,1,1,22/09/2017,15:10,Single carriageway,30,Other,No physical crossing facility within 50m,Daylight,1,Dry,Female,12,Slight,"In centre of carriageway, not on refuge",Child
a2017010060734,0.114227,51.467585,1,1,25/09/2017,08:30,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Wet,Female,11,Slight,"In carirageway, not crossing",Child
a2017010060131,0.142205,51.459343,1,1,21/09/2017,11:50,Single carriageway,30,Mini roundabout,"Pelican, puffin, toucan",Daylight,1,Dry,Female,17,Slight,"In carriageway, crossing on pedestrian crossing facility",Child
a2017010058699,0.146533,51.456476,1,1,13/09/2017,10:51,One-way street,30,T or staggered junction,No physical crossing facility within 50m,Daylight,4,Dry,Male,77,Slight,"In carriageway, crossing elsewhere",Adult
a2017010058573,0.098226,51.4703,1,1,12/09/2017,15:58,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,11,Slight,"In carriageway, crossing elsewhere",Child
a2017010057648,0.155294,51.459103,2,2,06/09/2017,15:43,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,12,Slight,On footway or verge,Child
a2017010057648,0.155294,51.459103,2,2,06/09/2017,15:43,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,12,Slight,On footway or verge,Child
a2017010056196,0.103387,51.432258,1,1,27/08/2017,20:00,One-way street,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Female,57,Slight,"In carriageway, crossing elsewhere",Adult
a2017010056090,0.149384,51.455884,1,1,26/08/2017,14:24,Single carriageway,30,T or staggered junction,Pedestrian phase,Daylight,1,Dry,Female,11,Slight,"In carriageway, crossing on pedestrian crossing facility",Child
a2017010055949,0.088565,51.429015,1,1,25/08/2017,10:50,Single carriageway,30,Not at or within 20 metres of junction,Zebra Crossing,Daylight,1,Dry,Male,21,Slight,Unknown,Adult
a2017010054539,0.162425,51.472911,1,1,18/08/2017,14:57,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,27,Slight,On footway or verge,Adult
a2017010054398,0.147064,51.483085,1,1,17/08/2017,10:30,One-way street,30,T or staggered junction,Zebra Crossing,Daylight,1,Dry,Female,72,Serious,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult
a2017010053716,0.113805,51.461567,1,1,14/08/2017,12:30,Single carriageway,30,T or staggered junction,Pedestrian phase,Daylight,1,Dry,Male,73,Slight,"In carriageway, crossing elsewhere",Adult
a2017010053475,0.102205,51.434707,1,1,12/08/2017,20:13,Single carriageway,30,T or staggered junction,"Pelican, puffin, toucan",Daylight,1,Dry,Female,22,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2017010053107,0.189569,51.465392,1,1,04/08/2017,08:15,Unknown,30,Unknown,Unknown,Daylight,9,Dry,Male,24,Slight,Unknown,Adult
a2017010051684,0.128475,51.417955,1,1,30/07/2017,12:00,Single carriageway,20,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,8,Serious,"In carriageway, crossing elsewhere",Child
a2017010051095,0.14905,51.454901,1,1,29/07/2017,11:35,Roundabout,30,Roundabout,Central refuge,Daylight,1,Dry,Female,37,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2017010050582,0.105084,51.462893,1,2,25/07/2017,10:10,Single carriageway,30,T or staggered junction,Central refuge,Daylight,1,Dry,Female,81,Slight,"In centre of carriageway, not on refuge",Adult
a2017010050392,0.154556,51.498416,1,1,25/07/2017,11:19,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,28,Slight,"In carirageway, not crossing",Adult
a2017010049087,0.152003,51.453408,1,1,18/07/2017,18:03,Single carriageway,30,T or staggered junction,"Pelican, puffin, toucan",Daylight,1,Dry,Male,3,Slight,"In carriageway, crossing on pedestrian crossing facility",Child
a2017010048519,0.179663,51.478077,1,1,15/07/2017,12:51,Dual carriageway,30,T or staggered junction,Pedestrian phase,Daylight,1,Dry,Female,15,Serious,"In carriageway, crossing on pedestrian crossing facility",Child
a2017010048263,0.147905,51.442781,1,1,13/07/2017,16:40,Single carriageway,30,Other,Zebra Crossing,Daylight,1,Dry,Male,15,Serious,"In carriageway, crossing elsewhere",Child
a2017010048236,0.15994,51.490403,2,1,01/07/2017,15:30,Single carriageway,30,Not at or within 20 metres of junction,Unknown,Daylight,9,Unknown,Male,38,Slight,Unknown,Adult
a2017010048031,0.146533,51.456476,1,1,12/07/2017,16:00,One-way street,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,8,Dry,Female,84,Serious,On footway or verge,Adult
a2017010047776,0.151478,51.445324,2,2,11/07/2017,15:35,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,15,Slight,"In carriageway, crossing elsewhere",Child
a2017010047776,0.151478,51.445324,2,2,11/07/2017,15:35,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,11,Serious,"In carriageway, crossing elsewhere",Child
a2017010046966,0.12696,51.481293,1,1,06/07/2017,13:05,Dual carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,51,Serious,"In centre of carriageway, not on refuge",Adult
a2017010046530,0.152418,51.483617,1,1,03/07/2017,15:20,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,4,Serious,"In carriageway, crossing elsewhere",Child
a2017010046269,0.15706,51.475168,1,1,03/07/2017,15:20,Unknown,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,4,Serious,"In carriageway, crossing elsewhere",Child
a2017010046102,0.187298,51.478115,1,1,02/07/2017,17:29,Single carriageway,30,Other,No physical crossing facility within 50m,Daylight,1,Dry,Male,33,Slight,"In carirageway, not crossing",Adult
a2017010046088,0.122144,51.461326,1,1,02/07/2017,16:46,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,15,Slight,"In carirageway, not crossing",Child
a2017010045956,0.1433,51.48882,1,1,30/06/2017,18:44,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,6,Serious,"In carirageway, not crossing",Child
a2017010045934,0.164548,51.484293,1,1,30/06/2017,17:30,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,42,Serious,"In carriageway, crossing elsewhere",Adult
a2017010045858,0.145278,51.481859,1,2,30/06/2017,11:38,One-way street,30,Not at or within 20 metres of junction,Zebra Crossing,Daylight,1,Dry,Male,79,Slight,"In carriageway, crossing elsewhere",Adult
a2017010045858,0.145278,51.481859,1,2,30/06/2017,11:38,One-way street,30,Not at or within 20 metres of junction,Zebra Crossing,Daylight,1,Dry,Male,85,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult
a2017010045840,0.115357,51.426646,1,1,30/06/2017,10:20,Single carriageway,30,Not at or within 20 metres of junction,Central refuge,Daylight,8,Dry,Female,17,Slight,"In carriageway, crossing elsewhere",Child
a2017010045722,0.140976,51.451541,1,2,29/06/2017,15:21,Single carriageway,30,Not at or within 20 metres of junction,Zebra Crossing,Daylight,1,Dry,Female,12,Slight,"In carriageway, crossing elsewhere",Child
a2017010045015,0.102763,51.465633,1,1,26/06/2017,18:50,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,49,Serious,On footway or verge,Adult
a2017010044704,0.119076,51.444835,1,1,23/06/2017,19:53,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,21,Slight,Unknown,Adult
a2017010044049,0.083766,51.459497,1,1,08/06/2017,15:30,Unknown,30,Unknown,Unknown,Daylight,9,Unknown,Female,49,Slight,Unknown,Adult
a2017010043970,0.152371,51.485686,1,1,20/06/2017,14:15,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,58,Slight,"In carriageway, crossing elsewhere",Adult
a2017010043476,0.138234,51.457527,1,1,17/06/2017,19:00,Single carriageway,20,T or staggered junction,"Pelican, puffin, toucan",Daylight,1,Dry,Female,12,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Child
a2017010043463,0.0986,51.469035,1,1,17/06/2017,15:00,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,10,Slight,On footway or verge,Child
a2017010043361,0.102109,51.426345,1,1,16/06/2017,15:16,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,67,Slight,"In carriageway, crossing elsewhere",Adult
a2017010043055,0.087523,51.45979,1,1,15/06/2017,08:50,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,62,Slight,"In carirageway, not crossing",Adult
a2017010042958,0.110447,51.451196,1,1,11/06/2017,14:25,Single carriageway,30,Not at or within 20 metres of junction,Footbridge or subway,Darkness: street lights present but unlit,1,Dry,Male,42,Slight,"In carirageway, not crossing",Adult
a2017010041696,0.10125,51.42645,1,1,07/06/2017,11:11,Single carriageway,30,Crossroads,"Pelican, puffin, toucan",Daylight,1,Dry,Male,67,Serious,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult
a2017010040954,0.174311,51.480605,1,1,02/06/2017,17:26,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,2,Wet,Male,79,Serious,"In carriageway, crossing elsewhere",Adult
a2017010040939,0.162641,51.474435,1,1,02/06/2017,13:30,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,17,Slight,"In carriageway, crossing elsewhere",Child
a2017010038604,0.08603,51.43023,1,1,20/05/2017,10:00,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,2,Slight,"In carriageway, crossing elsewhere",Child
a2017010037750,0.173379,51.451934,1,1,16/05/2017,07:51,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,25,Slight,"In carirageway, not crossing",Adult
a2017010037510,0.181197,51.474002,1,1,15/05/2017,21:07,Dual carriageway,40,Roundabout,Central refuge,Darkness: street lights present but unlit,1,Dry,Male,48,Serious,"In carriageway, crossing elsewhere",Adult
a2017010036837,0.134942,51.457946,1,1,11/05/2017,13:50,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,44,Slight,"In carirageway, not crossing",Adult
a2017010036526,0.160003,51.436893,1,1,10/05/2017,13:12,Dual carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,26,Slight,On footway or verge,Adult
a2017010036331,0.176169,51.4803,1,1,09/05/2017,20:14,Single carriageway,30,T or staggered junction,Pedestrian phase,Darkness: street lights present and lit,1,Dry,Male,21,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2017010036103,0.176963,51.454656,1,1,08/05/2017,15:00,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,9,Slight,"In carriageway, crossing elsewhere",Child
a2017010036019,0.155581,51.452982,1,1,08/05/2017,08:28,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,15,Slight,"In carriageway, crossing elsewhere",Child
a2017010034323,0.118005,51.418594,1,1,27/04/2017,17:04,Single carriageway,30,Other,No physical crossing facility within 50m,Darkness: street lights present and lit,2,Wet,Male,14,Slight,"In carriageway, crossing elsewhere",Child
a2017010033903,0.121037,51.496419,1,1,25/04/2017,15:30,Dual carriageway,40,Roundabout,No physical crossing facility within 50m,Daylight,1,Dry,Male,12,Slight,"In carriageway, crossing elsewhere",Child
a2017010033714,0.14189,51.467982,1,1,24/04/2017,20:40,Roundabout,30,Roundabout,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Wet,Male,34,Slight,"In carirageway, not crossing",Adult
a2017010033591,0.174268,51.470623,1,1,24/04/2017,07:20,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,13,Slight,"In carriageway, crossing elsewhere",Child
a2017010032976,0.153048,51.460313,1,2,20/04/2017,17:30,Dual carriageway,30,Not at or within 20 metres of junction,"Pelican, puffin, toucan",Daylight,1,Dry,Female,55,Slight,"In centre of carriageway, not on refuge",Adult
a2017010030976,0.133152,51.490534,1,1,07/04/2017,16:54,Single carriageway,30,T or staggered junction,Central refuge,Daylight,1,Dry,Male,5,Serious,"In carriageway, crossing elsewhere",Child
a2017010030159,0.111565,51.459809,1,1,04/04/2017,15:20,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,0,Slight,"In carriageway, crossing elsewhere",Child
a2017010029136,0.151605,51.490826,1,1,24/03/2017,08:19,Single carriageway,30,Junction more than four arms,No physical crossing facility within 50m,Daylight,1,Dry,Male,6,Slight,On footway or verge,Child
a2017010028872,0.147257,51.456552,1,1,29/03/2017,15:45,One-way street,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,11,Slight,On footway or verge,Child
a2017010028729,0.169559,51.47152,1,1,19/03/2017,12:05,Single carriageway,30,Not at or within 20 metres of junction,Central refuge,Daylight,9,Unknown,Female,56,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2017010028716,0.180729,51.470233,1,1,21/03/2017,16:15,Dual carriageway,40,T or staggered junction,Pedestrian phase,Daylight,1,Dry,Female,18,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2017010028461,0.143907,51.455714,1,1,28/03/2017,07:49,One-way street,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,11,Slight,"In carriageway, crossing elsewhere",Child
a2017010024083,0.118798,51.460578,1,1,09/03/2017,19:07,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Male,95,Fatal,"In carriageway, crossing elsewhere",Adult
a2017010023749,0.102997,51.433164,1,1,08/03/2017,09:45,Single carriageway,30,Crossroads,Pedestrian phase,Daylight,1,Wet,Male,53,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult
a2017010023567,0.11205,51.414205,1,1,07/03/2017,14:54,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,79,Serious,"In carriageway, crossing elsewhere",Adult
a2017010023384,0.0913,51.432204,1,1,02/03/2017,08:55,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,46,Slight,"In carirageway, not crossing",Adult
a2017010023107,0.111376,51.461971,1,1,06/03/2017,07:49,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,70,Slight,Unknown,Adult
a2017010020706,0.091279,51.456935,1,1,24/02/2017,08:18,Dual carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,11,Slight,"In carriageway, crossing elsewhere",Child
a2017010018665,0.181261,51.47535,4,1,15/02/2017,20:05,Dual carriageway,30,T or staggered junction,"Pelican, puffin, toucan",Darkness: street lights present and lit,1,Wet,Male,34,Serious,Unknown,Adult
a2017010018182,0.122455,51.489738,1,1,28/01/2017,20:15,One-way street,30,Slip road,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Wet,Female,26,Slight,"In carriageway, crossing elsewhere",Adult
a2017010017508,0.137806,51.457625,1,1,10/02/2017,18:40,Single carriageway,30,T or staggered junction,Pedestrian phase,Darkness: street lights present and lit,3,Wet,Male,70,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult
a2017010016972,0.101802,51.435344,1,1,08/02/2017,15:07,Single carriageway,30,T or staggered junction,"Pelican, puffin, toucan",Daylight,1,Dry,Male,15,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Child
a2017010016725,0.122289,51.510965,1,1,07/02/2017,22:30,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Male,26,Slight,"In carriageway, crossing elsewhere",Adult
a2017010016308,0.10153,51.426265,1,1,03/02/2017,07:30,Unknown,30,Not at or within 20 metres of junction,Unknown,Daylight,9,Unknown,Male,15,Slight,Unknown,Child
a2017010016048,0.147095,51.465369,1,1,03/02/2017,17:45,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,2,Wet,Female,12,Slight,"In carriageway, crossing elsewhere",Child
a2017010015541,0.134515,51.458044,1,1,01/02/2017,09:04,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,2,Wet,Female,61,Slight,"In carriageway, crossing elsewhere",Adult
a2017010014926,0.187346,51.464085,1,1,28/01/2017,18:23,Dual carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Wet,Male,12,Serious,"In centre of carriageway, not on refuge",Child
a2017010013061,0.104232,51.425587,1,1,20/01/2017,16:52,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Female,30,Slight,"In carriageway, crossing elsewhere",Adult
a2017010012674,0.153145,51.456265,1,1,19/01/2017,08:10,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,15,Slight,"In centre of carriageway, not on refuge",Child
a2017010011112,0.145711,51.442012,1,1,11/01/2017,17:50,Single carriageway,20,T or staggered junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Female,76,Slight,"In carriageway, crossing elsewhere",Adult
a2017010010795,0.141272,51.451716,1,1,04/01/2017,07:30,Unknown,30,T or staggered junction,Central refuge,Daylight,9,Unknown,Female,56,Slight,On refuge or central island,Adult
a2017010010225,0.110491,51.467742,1,1,06/01/2017,17:10,Single carriageway,30,Other,Zebra Crossing,Darkness: street lights present and lit,2,Wet,Female,69,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
