accident_index,longitude,latitude,number_of_vehicles,number_of_casualties,date,time,road_type,speed_limit,junction_detail,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,sex_of_casualty,age_of_casualty,casualty_severity,pedestrian_location,age_group_of_casualty
a2022010385700,0.149942,51.441675,1,1,30/06/2022,22:21,Single carriageway,20,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Male,58,Slight,On footway or verge,Adult
a2022010378216,0.091591,51.462452,1,1,24/05/2022,08:00,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,8,Wet,Female,12,Slight,"In carriageway, crossing elsewhere",Child
a2022010377794,0.181112,51.475209,1,1,21/05/2022,18:58,Dual carriageway,40,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,33,Slight,"In carriageway, crossing elsewhere",Adult
a2022010373468,0.139047,51.493646,2,1,29/04/2022,12:39,Single carriageway,30,Using private drive or entrance,No physical crossing facility within 50m,Daylight,1,Dry,Female,30,Slight,"In carirageway, not crossing",Adult
a2022010373084,0.123278,51.477359,1,1,23/04/2022,14:57,Unknown,20,Not at or within 20 metres of junction,Unknown,Daylight,9,Unknown,Female,48,Slight,On footway or verge,Adult
a2022010372245,0.094104,51.464206,1,1,22/04/2022,09:00,Single carriageway,20,Not at or within 20 metres of junction,Pedestrian phase,Daylight,1,Dry,Female,82,Slight,On footway or verge,Adult
a2022010371159,0.10164,51.423603,1,1,16/04/2022,16:30,Single carriageway,30,Other,No physical crossing facility within 50m,Daylight,1,Dry,Female,74,Serious,"In carriageway, crossing elsewhere",Adult
a2022010366475,0.127699,51.49004,1,1,20/03/2022,14:15,Single carriageway,30,Not at or within 20 metres of junction,Footbridge or subway,Daylight,1,Dry,Female,13,Slight,"In carriageway, crossing elsewhere",Child
a2022010365789,0.079835,51.458794,1,1,17/03/2022,07:24,Roundabout,30,Roundabout,No physical crossing facility within 50m,Daylight,1,Dry,Female,48,Serious,"In carriageway, crossing elsewhere",Adult
a2022010365443,0.132984,51.464998,1,1,15/03/2022,10:43,Single carriageway,30,T or staggered junction,No physical crossing facility within 50m,Daylight,1,Dry,Female,73,Serious,"In carriageway, crossing elsewhere",Adult
a2022010365183,0.111715,51.459915,1,1,13/03/2022,15:17,Single carriageway,30,Other,No physical crossing facility within 50m,Daylight,1,Wet,Female,22,Slight,On footway or verge,Adult
a2022010361529,0.105874,51.462808,1,1,21/02/2022,16:50,Single carriageway,30,T or staggered junction,Central refuge,Daylight,1,Dry,Female,72,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Adult
a2022010360799,0.11027,51.469788,1,1,17/02/2022,06:30,Single carriageway,30,Unknown,Zebra Crossing,Darkness: street lights present and lit,1,Dry,Male,20,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2022010360035,0.121239,51.510688,1,1,10/02/2022,15:38,Single carriageway,20,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,2,Dry,Male,10,Serious,Unknown,Child
a2022010359917,0.124865,51.494453,1,1,11/02/2022,22:30,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Male,36,Serious,"In carriageway, crossing elsewhere",Adult
a2022010359636,0.18099,51.464798,1,1,10/02/2022,16:20,Single carriageway,20,Not at or within 20 metres of junction,No physical crossing facility within 50m,Daylight,1,Dry,Male,12,Serious,"In carriageway, crossing elsewhere",Child
a2022010357863,0.175235,51.463358,1,1,31/01/2022,18:15,Single carriageway,30,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1,Dry,Male,55,Slight,On footway or verge,Adult
a2022010357778,0.100655,51.420005,1,1,31/01/2022,10:49,Single carriageway,20,Not at or within 20 metres of junction,Zebra Crossing,Daylight,1,Dry,Male,80,Serious,On footway or verge,Adult
a2022010356990,0.14613,51.465945,1,1,27/01/2022,09:40,Single carriageway,30,T or staggered junction,Central refuge,Daylight,1,Dry,Male,60,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult
a2022010356583,0.123164,51.457208,1,1,25/01/2022,07:13,Dual carriageway,30,Other,Pedestrian phase,Daylight,1,Dry,Male,14,Serious,"In carriageway, crossing elsewhere",Child
a2022010355936,0.152139,51.45534,2,2,21/01/2022,10:40,Roundabout,30,Roundabout,"Pelican, puffin, toucan",Daylight,1,Dry,Female,63,Slight,On footway or verge,Adult
a2022010355635,0.100939,51.425882,1,1,19/01/2022,17:41,Single carriageway,30,Crossroads,Pedestrian phase,Darkness: street lights present and lit,1,Dry,Female,25,Serious,"In carriageway, crossing elsewhere",Adult
a2022010355363,0.122122,51.506427,1,1,18/01/2022,07:50,Single carriageway,30,Other,No physical crossing facility within 50m,Darkness: street lights present but unlit,9,Frost/Ice,Female,10,Slight,"In carriageway, crossing elsewhere",Child
a2022010354944,0.170564,51.475675,2,1,14/01/2022,07:10,Roundabout,20,Mini roundabout,No physical crossing facility within 50m,Darkness: street lights present and lit,8,Frost/Ice,Female,-1,Slight,Unknown,Child
a2022010354485,0.157998,51.465736,1,1,13/01/2022,15:39,Unknown,30,Not at or within 20 metres of junction,Zebra Crossing,Daylight,1,Dry,Female,50,Slight,On footway or verge,Adult
a2022010354427,0.176004,51.480439,1,1,13/01/2022,06:45,Roundabout,30,Roundabout,Central refuge,Darkness: street lights present and lit,1,Wet,Male,35,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult
a2022010354167,0.151501,51.491044,1,1,11/01/2022,19:05,Single carriageway,30,T or staggered junction,Zebra Crossing,Darkness: street lights present and lit,2,Wet,Male,16,Slight,"In carriageway, crossing on pedestrian crossing facility",Child
a2022010353945,0.091959,51.456978,1,1,10/01/2022,16:22,Single carriageway,30,Other,Zebra Crossing,Daylight,1,Wet,Male,11,Slight,"In carriageway, crossing elsewhere within 50m of pedestrian crossing",Child
a2022010353857,0.109749,51.465364,1,1,10/01/2022,07:40,Single carriageway,30,Not at or within 20 metres of junction,Zebra Crossing,Darkness: street lights present and lit,1,Wet,Male,17,Slight,"In carriageway, crossing on pedestrian crossing facility",Child
a2021010352320,0.181269,51.472804,1,1,29/12/2021,17:30,Dual carriageway,40,Not at or within 20 metres of junction,Pedestrian phase,Darkness: street lights present and lit,1,Wet,Male,31,Serious,"In carriageway, crossing on pedestrian crossing facility",Adult
