accident_index,longitude,latitude,number_of_vehicles,number_of_casualties,date,time,road_type,speed_limit,junction_detail,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,sex_of_casualty,age_of_casualty,casualty_severity,pedestrian_location,age_group_of_casualty,type,year,label,name,is_surveyed,num_collisions_dimitri,distance_to_collision,project,num_collisions_bexley,avg_four_peak_adpv2,max_one_hour_adpv2
a2022010391572,0.126272,51.47422,1.0,1.0,2022-01-08,11:40,Single carriageway,30.0,Not at or within 20 metres of junction,Zebra Crossing,Daylight,1.0,Dry,Female,59.0,Slight,"In carriageway, crossing on pedestrian crossing facility",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010391463,0.103228,51.426227,1.0,1.0,2022-07-31,13:43,Single carriageway,30.0,T or staggered junction,Zebra Crossing,Daylight,1.0,Dry,Female,20.0,Slight,On footway or verge,Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010391351,0.162473,51.473279,1.0,1.0,2022-07-30,14:49,Single carriageway,20.0,Not at or within 20 metres of junction,Zebra Crossing,Daylight,1.0,Dry,Male,53.0,Slight,On footway or verge,Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010389534,0.147699,51.456734,1.0,1.0,2022-07-20,18:44,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,15.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010387721,0.153209,51.439852,1.0,1.0,2022-11-07,09:23,Single carriageway,20.0,T or staggered junction,No physical crossing facility within 50m,Daylight,8.0,Dry,Female,63.0,Slight,On footway or verge,Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010386713,0.182537,51.467656,1.0,1.0,2022-03-07,14:29,Single carriageway,20.0,T or staggered junction,No physical crossing facility within 50m,Daylight,9.0,Dry,Male,25.0,Slight,On footway or verge,Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010386463,0.169465,51.474355,1.0,1.0,2022-04-07,19:27,Single carriageway,30.0,Other,No physical crossing facility within 50m,Daylight,1.0,Dry,Male,4.0,Slight,"In carriageway, crossing elsewhere",Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010386339,0.115829,51.461082,1.0,1.0,2022-06-20,09:55,Single carriageway,20.0,Other,Zebra Crossing,Daylight,1.0,Dry,Male,63.0,Slight,"In carriageway, crossing elsewhere",Adult,Collision not involving a child,2022.0,2022,,,,,,,,
a2022010385723,0.16358,51.4495,1.0,2.0,2022-05-17,18:15,Single carriageway,30.0,T or staggered junction,No physical crossing facility within 50m,Daylight,1.0,Dry,Female,-1.0,Slight,On footway or verge,Child,Collision involving a child,2022.0,C2022,,,,,,,,
a2022010385700,0.149942,51.441675,1.0,1.0,2022-06-30,22:21,Single carriageway,20.0,Not at or within 20 metres of junction,No physical crossing facility within 50m,Darkness: street lights present and lit,1.0,Dry,Male,58.0,Slight,On footway or verge,Adult,Collision not involving a child,2022.0,2022,,,,,,,,
